EventID,pathway,Node,DecisionTable,Attribute,Value,Date
442,Path1,Initial_patient_GP_Visit,,,,1991-01-14T00:00:00
442,Path1,Initial_patient_GP_Visit,,NhsNumber,7832003812,1991-01-14T00:00:00
443,Path1,patient_assessment,,,,1991-01-14T00:00:00
444,Path1,test_request,,,,1991-01-14T00:34:00
445,Path1,Specimen_check,,,,1991-01-14T00:34:00
446,Path1,specimen_ready_for_test,,,,1991-01-14T00:34:00
447,Path1,lab_test,,,,1991-01-14T00:34:00
448,Path1,test_report,,,,1991-01-14T00:46:00
449,Path1,send_report,,,,1991-01-14T00:46:00
450,Path1,receive_report,,,,1991-01-14T00:46:00
451,Path1,GP_checks_report,,,,1991-01-14T00:46:00
452,Path1,inform_patient,,,,1991-01-14T00:46:00
453,Path1,Finish,,,,1991-01-14T03:46:00
454,Path1,Finish,,,,1991-01-14T03:46:00
